case_id,node_id,region_type,pl_name,discoverymethod,pl_bmasse,pl_orbper,pl_orbsmax,r3_log_mass,r3_log_period,r3_log_semimajor,r3_z_mass,r3_z_period,r3_z_semimajor,imputation_status_pl_bmasse,imputation_status_pl_orbper,imputation_status_pl_orbsmax,rv_proxy,is_anchor,belongs_to_target_node,r3_valid
case_1,cube17_cluster2,node,24 Sex b,Radial Velocity,632.46,452.8000000000002,1.3330000000000002,2.8010330637156744,2.6559064181802152,0.12483014941385927,1.4300999476182865,1.5715077015220709,1.6636802067515453,observed,observed,observed,1.9157309243222693,False,True,True
case_1,cube17_cluster2,node,HD 108863 b,Radial Velocity,767.2416200000001,437.7000000000001,1.3199999999999998,2.884932153659568,2.641176546613114,0.12057393120584982,1.5125170849503835,1.5547927900175462,1.6565752234341722,observed,observed,observed,2.0045399714551966,False,True,True
case_1,cube17_cluster2,node,HD 154857 b,Radial Velocity,778.6834999999996,408.60001000000017,1.2900000000000005,2.8913609722627696,2.611298372925271,0.11058971029924912,1.5188323480367598,1.5208881475477134,1.6399083798863314,observed,observed,observed,2.0209281812876796,False,True,True
case_1,cube17_cluster2,node,HD 95089 b,Radial Velocity,400.4658000000001,464.3999999999998,1.3600000000000003,2.6025654330158003,2.666892211066536,0.13353890837021762,1.2351379523653452,1.5839739715139978,1.678217898212831,observed,observed,observed,1.7136013626602884,False,True,True
case_1,cube17_cluster2,node,HIP 90988 b,Radial Velocity,668.0753115100001,455.7381599999999,1.3600000000000003,2.824825422849216,2.6587153945766904,0.13353890837021762,1.4534720501223182,1.5746952236719753,1.678217898212831,observed,observed,observed,1.938586957990319,True,True,True
case_1,cube17_cluster2,node,eps CrB b,Radial Velocity,2129.4610000000007,417.9,1.2999999999999998,3.328269690599064,2.621072371143626,0.1139433523068367,1.9480237238287181,1.5319793179303578,1.6455066761558959,observed,observed,observed,2.4545789002178555,False,True,True
case_1,cube17_cluster2,node,gam Lib b,Radial Velocity,357.8747862800001,414.88000000000005,1.319,2.553731101672493,2.6179224994252763,0.12024479554636527,1.187166206837068,1.5284049604226921,1.6560257912256944,observed,observed,observed,1.6810902685307343,False,True,True
case_1,cube17_cluster2,node,nu Oct A b,Radial Velocity,696.0442113300008,402.4000000000001,1.2400000000000002,2.8426368259997115,2.604657972047871,0.09342168516223515,1.4709688413332054,1.5133528671133472,1.611249479841878,observed,observed,observed,1.9744175019837544,False,True,True
case_1,cube17_cluster2,N1,11 Com b,Radial Velocity,4914.898485849997,323.20999999999987,1.1779999999999995,3.6915145521802657,2.50948478922394,0.07114529045108264,2.304852405309494,1.4053538719246172,1.5740630845353327,observed,observed,observed,2.8550196224389524,False,False,True
case_1,cube17_cluster2,N1,11 UMi b,Radial Velocity,4684.814200000001,516.2199700000001,1.5300000000000002,3.67069237142127,2.7128348012404855,0.18469143081759887,2.284398017397593,1.6361079175262199,1.7636077445196459,observed,observed,observed,2.7664141043411083,False,False,True
