pl_name,hostname,discoverymethod,disc_year,pl_dens_source,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_met,sy_pnum,pl_rade_was_imputed,pl_bmasse_was_imputed,pl_dens_was_imputed,pl_orbper_was_imputed,pl_orbsmax_was_imputed,pl_orbeccen_was_imputed,st_teff_was_imputed,st_met_was_imputed,sy_pnum_was_imputed,complete_case_before_imputation,any_feature_was_imputed,imputation_method
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015.0,derived_from_pl_bmasse_pl_rade,13.400000000000002,603.8770000000001,1.3838877197328125,406.0000000000001,0.9200000000000002,0.33,29564.0,-0.092,3.0,False,False,False,False,False,False,False,False,False,True,False,knn
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024.0,derived_from_pl_bmasse_pl_rade,12.400000000000002,3813.940884000002,11.030003836297032,8843.174676621678,7493.000000000007,0.35791498332029376,3592.0,-0.2624331600987935,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016.0,derived_from_pl_bmasse_pl_rade,12.300000000000004,3972.8749999999995,11.772164668404564,866.6675923186941,229.99999999999986,0.4591887039897519,4045.0,0.0234003035975948,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018.0,derived_from_pl_bmasse_pl_rade,11.900000000000002,9534.852210000003,31.198940329037203,3605.6033155731147,518.0000000000001,0.5555099338161479,3352.0,-0.14654287924155218,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
4 UMa b,4 UMa,Radial Velocity,2006.0,derived_from_pl_bmasse_pl_rade,12.600000000000001,2511.4800721100005,6.922849063183392,270.26999999999987,0.8770000000000001,0.45300000000000007,4415.0,-0.25,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
47 UMa b,47 UMa,Radial Velocity,1996.0,derived_from_pl_bmasse_pl_rade,13.199999999999998,804.08,1.9277212204691547,1078.0000000000002,2.1,0.032,5872.0,0.04,3.0,False,False,False,False,False,False,False,False,False,True,False,knn
47 UMa c,47 UMa,Radial Velocity,2001.0,derived_from_pl_bmasse_pl_rade,14.200000000000001,171.62100000000007,0.3305005273657418,2391.0000000000005,3.6,0.098,5872.0,0.04,3.0,False,False,False,False,False,False,False,False,False,True,False,knn
47 UMa d,47 UMa,Radial Velocity,2009.0,derived_from_pl_bmasse_pl_rade,13.5,521.22,1.168117494284408,14002.000000000011,11.600000000000003,0.16,5872.0,0.04,3.0,False,False,False,False,False,False,False,False,False,True,False,knn
51 Eri b,51 Eri,Imaging,2015.0,,12.581647513878103,3464.329636300001,7.446979860094742,9099.999999999996,10.399999999999999,0.57,7422.0,0.12999999999999998,1.0,True,False,True,False,False,False,False,False,False,False,True,knn
51 Peg b,51 Peg,Radial Velocity,1995.0,derived_from_pl_bmasse_pl_rade,14.300000000000002,146.20179999999996,0.275683877782934,4.230785,0.05269999999999999,0.012999999999999998,5758.0,0.18,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
55 Cnc B b,55 Cnc B,Radial Velocity,2025.0,derived_from_pl_bmasse_pl_rade,1.69,3.5000000000000004,3.9982936967259324,6.7993999999999994,0.044,0.0,3286.0,0.16,7.0,False,False,False,False,False,False,False,False,False,True,False,knn
55 Cnc B c,55 Cnc B,Radial Velocity,2025.0,derived_from_pl_bmasse_pl_rade,2.16,5.3,2.899889022252705,33.74699999999999,0.13000000000000003,0.0,3286.0,0.16,7.0,False,False,False,False,False,False,False,False,False,True,False,knn
55 Cnc b,55 Cnc,Radial Velocity,1996.0,derived_from_pl_bmasse_pl_rade,13.900000000000004,263.9785000000001,0.5419895558528594,14.651552,0.118,0.0029,5198.0,0.39,7.0,False,False,False,False,False,False,False,False,False,True,False,knn
55 Cnc c,55 Cnc,Radial Velocity,2004.0,derived_from_pl_bmasse_pl_rade,8.51,54.4738,0.4873778115086633,44.3936,0.24699999999999997,0.088,5198.0,0.39,7.0,False,False,False,False,False,False,False,False,False,True,False,knn
