config_id,node_id,centroid_log_mass,centroid_log_period,centroid_log_semimajor,centroid_z_mass,centroid_z_period,centroid_z_semimajor,spread_r3,n_r3_valid,r3_valid_fraction,I_R3,imputed_fraction_pl_bmasse,physically_derived_fraction_pl_bmasse,observed_fraction_pl_bmasse,imputed_fraction_pl_orbper,physically_derived_fraction_pl_orbper,observed_fraction_pl_orbper,imputed_fraction_pl_orbsmax,physically_derived_fraction_pl_orbsmax,observed_fraction_pl_orbsmax
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,1.7036442161610443,0.15592406777427886,-1.5830707916551838,0.3520948415306655,-1.2653794742792028,-1.1873502388177326,1.1251895403885015,36,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.027777777777777776,0.9722222222222222
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,1.1380829733875033,-0.019757473590421168,-1.703481419994672,-0.203476603243642,-1.4647363663954984,-1.388353914798569,1.2089735314432837,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube0_cluster2,0.618225109541672,-0.11519671963070119,-1.780279206870554,-0.714151951288594,-1.57303728024629,-1.5165538725774015,0.5211579012150739,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,-0.295042210876183,-0.17066300674784743,-1.8186983823660303,-1.61128776310884,-1.635978364044899,-1.580687708678406,0.589082106141239,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75
orbital_pca2_cubes10_overlap0p35,cube11_cluster0,1.7775009779341568,1.971427867995089,-0.33827511299754115,0.424647033479699,0.7947868495464823,0.8906100766936468,0.47771074216138787,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube11_cluster1,1.4489390399217785,0.8889764163465397,-1.0776375430367038,0.10188865331878162,-0.43353887887740844,-0.3436212230632882,0.8680925614383399,284,1.0,0.0011737089201877935,0.0035211267605633804,0.0,0.9964788732394366,0.0,0.0,1.0,0.0,0.04929577464788732,0.9507042253521126
orbital_pca2_cubes10_overlap0p35,cube11_cluster2,2.4859711496771473,2.0587697112932717,-0.28351031590089765,1.120603133590966,0.8938991313284816,0.9820299594944742,0.7806440414956083,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube11_cluster3,1.5508011116493459,1.3315288764711497,-0.7753785818556087,0.20195148308388414,0.06865322601603341,0.1609452187316566,0.8660837292853083,38,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube11_cluster4,1.974814092231007,1.8287085893214061,-0.4412484856600694,0.6184749051443652,0.6328343096242557,0.7187147322481688,0.7321819392041843,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube11_cluster5,1.6077672697527756,1.4932608443772728,-0.6657501206323734,0.2579114187498377,0.25218065995791,0.3439500248843568,0.9704201735025233,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.75
orbital_pca2_cubes10_overlap0p35,cube12_cluster0,1.0453690163188516,1.238358009713643,-0.8935096280468771,-0.29455290618613156,-0.03707361522336248,-0.036253108852520415,0.7816402455913626,3182,1.0,0.0030379216425728056,0.00251414204902577,0.0,0.9974858579509742,0.004085480829666876,0.0,0.9959145191703331,0.00251414204902577,0.07039597737272156,0.9270898805782527
orbital_pca2_cubes10_overlap0p35,cube12_cluster1,0.9389462757181934,1.457889612142504,-0.848498281152563,-0.39909584739333814,0.21204269854277816,0.03888516018048563,0.21514104061403447,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube13_cluster0,0.7592149460331835,1.0771754007983003,-1.0775704009484421,-0.5756524905158782,-0.21997765697384955,-0.3435091415407537,0.45725523871859103,328,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06402439024390244,0.9359756097560976
orbital_pca2_cubes10_overlap0p35,cube13_cluster1,0.8873880743472516,1.5017853581858789,-0.7766566994596382,-0.44974334983736314,0.261853961811281,0.15881163351340272,0.4941409932693201,54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.8888888888888888
orbital_pca2_cubes10_overlap0p35,cube13_cluster2,1.2082446816258214,2.095021435173445,-0.36459822244053736,-0.13455419720563827,0.9350362419803444,0.8466684260748125,0.49572590428933455,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube13_cluster3,0.9212092961656407,1.755003182067558,-0.5944261853288072,-0.4165195295884241,0.5491961493021636,0.4630123815811088,0.32458004364139115,60,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03333333333333333,0.9666666666666667
orbital_pca2_cubes10_overlap0p35,cube13_cluster4,0.6428828242224189,1.2562408163211691,-1.0467252155992857,-0.6899297784557562,-0.016780870066986687,-0.2920187064604691,0.12555380025758842,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.8333333333333334
orbital_pca2_cubes10_overlap0p35,cube13_cluster5,0.9370354670070735,1.9804541218593095,-0.42717748560917457,-0.4009729045111811,0.8050295073911564,0.742203711368701,0.315294775341716,19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube13_cluster6,1.299665623400432,2.169951613026331,-0.30009600286191573,-0.04474807036556862,1.0200642265166533,0.9543431672751634,0.5804508710863278,19,1.0,0.017543859649122806,0.05263157894736842,0.0,0.9473684210526315,0.0,0.0,1.0,0.0,0.0,1.0
orbital_pca2_cubes10_overlap0p35,cube13_cluster7,1.0819973275891952,1.9336894943897216,-0.4715643328204148,-0.25857157954445414,0.7519627439685849,0.6681079311398629,0.16858915627039064,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
