config_id,node_id,anchor_pl_name,radius_type,radius_value,N_obs,N_exp_neighbors,delta_N_neighbors,delta_rel_neighbors,N_exp_analog,delta_N_analog,delta_rel_analog,n_analog_nodes,reference_used,warning
orbital_pca2_cubes10_overlap0p35,cube19_cluster8,Kepler-48 e,r_node_q75,0.7010844714834857,325,326.0,1.0,0.0030674846625672776,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster8,Kepler-48 e,r_kNN,0.09445705614876661,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster12,Kepler-48 e,r_node_median,0.49190848146832084,183,184.0,1.0,0.005434782608666116,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster12,Kepler-48 e,r_node_q75,0.7010844714834857,325,326.0,1.0,0.0030674846625672776,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster12,Kepler-48 e,r_kNN,0.09445705614876661,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster0,HD 60292 b,r_node_median,0.5051326173668874,132,133.0,1.0,0.007518796992424671,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster0,HD 60292 b,r_node_q75,0.5056571962797527,133,134.0,1.0,0.007462686567108488,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster0,HD 60292 b,r_kNN,0.15496988083696614,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster0,HD 60292 b,r_node_median,0.5051326173668874,132,133.0,1.0,0.007518796992424671,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster0,HD 60292 b,r_node_q75,0.5056571962797527,133,134.0,1.0,0.007462686567108488,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster0,HD 60292 b,r_kNN,0.15496988083696614,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster14,HD 89307 b,r_node_median,0.4674386238984355,106,107.0,1.0,0.00934579439243602,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster14,HD 89307 b,r_node_q75,0.6984146297545085,216,217.0,1.0,0.0046082949308543395,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster14,HD 89307 b,r_kNN,0.1431679021641174,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster3,HD 114729 b,r_node_median,0.6676449114518498,230,231.0,1.0,0.004329004328985589,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster3,HD 114729 b,r_node_q75,0.967951578735297,444,445.0,1.0,0.002247191011230905,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster3,HD 114729 b,r_kNN,0.1176157825426781,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
