config_id,feature_space,lens,region_type,region_id,n_members,final_label,confidence,physical_evidence_score,observational_bias_score,imputation_risk_score,dominant_discoverymethod,dominant_discoverymethod_fraction,discoverymethod_enrichment_z,discoverymethod_enrichment_p,mean_imputation_fraction,radius_class_dominant,radius_class_purity,orbit_class_dominant,thermal_class_dominant,rationale_short,recommended_report_language,node_id,discoverymethod_entropy,discoverymethod_js_divergence_vs_global,discoverymethod_kl_divergence_vs_global,dominant_disc_facility,dominant_disc_facility_fraction,disc_facility_entropy,disc_year_median,disc_year_iqr,max_imputation_fraction,frac_orbit_short_period,frac_orbit_intermediate_period,frac_orbit_long_period,frac_thermal_very_hot,frac_thermal_hot,frac_thermal_warm,frac_thermal_cool,frac_hot_jupiter_candidate,frac_super_earth_candidate,frac_sub_neptune_candidate,frac_rocky_candidate,frac_long_period_giant_candidate,candidate_population_top,physically_derived_fraction,frac_any_imputed,enrichment_z,empirical_p_value,n_perm,seed,component_id,n_component_nodes,component_node_ids,beta_1_component,dominant_candidate_population,caution_level
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube36_cluster4,20,mixed,high,1.0,1.0,0.0,Transit,1.0,2.8213692790368308,0.0019980019980019,0.0,sub_neptune_size,1.0,intermediate_period,warm,physical_score=1.00; bias_score=1.00; imputation_risk=0.00; Transit fraction=1.00; enrichment_z=2.82; p=0.002; radius=sub_neptune_size,node `cube36_cluster4` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (sub_neptune_size/intermediate_period) and discovery-method enrichment (Transit); it should be discussed as mixed evidence rather than a clean physical structure.,cube36_cluster4,-0.0,0.1445587314591173,0.4359638356008698,Kepler,0.8,0.7219280948873623,2014.0,1.5,0.0,0.25,0.75,0.0,0.05,0.3,0.65,0.0,0.0,0.0,1.0,0.0,0.0,sub_neptune_candidate,0.3333333333333333,0.0,2.8213692790368308,0.0019980019980019,1000.0,42.0,,,,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube36_cluster5,6,mixed,high,1.0,1.0,0.5,Transit,0.8333333333333334,0.5468119624323249,0.5114885114885115,0.0,sub_neptune_size,1.0,short_period,hot,physical_score=1.00; bias_score=1.00; imputation_risk=0.50; Transit fraction=0.83; enrichment_z=0.55; p=0.511; radius=sub_neptune_size,node `cube36_cluster5` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (sub_neptune_size/short_period) and discovery-method enrichment (Transit); it should be discussed as mixed evidence rather than a clean physical structure.,cube36_cluster5,0.6500224216483541,0.1960699465553173,0.928782733397056,Kepler,1.0,-0.0,2014.0,0.75,0.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,sub_neptune_candidate,0.3333333333333333,0.0,0.5468119624323249,0.5114885114885115,1000.0,42.0,,,,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube37_cluster0,6,mixed,high,1.0,1.0,0.5,Transit,0.8333333333333334,0.5468119624323249,0.5114885114885115,0.0,sub_neptune_size,1.0,short_period,hot,physical_score=1.00; bias_score=1.00; imputation_risk=0.50; Transit fraction=0.83; enrichment_z=0.55; p=0.511; radius=sub_neptune_size,node `cube37_cluster0` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (sub_neptune_size/short_period) and discovery-method enrichment (Transit); it should be discussed as mixed evidence rather than a clean physical structure.,cube37_cluster0,0.6500224216483541,0.1960699465553173,0.928782733397056,Kepler,1.0,-0.0,2014.0,0.75,0.0,0.6666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,sub_neptune_candidate,0.3333333333333333,0.0,0.5468119624323249,0.5114885114885115,1000.0,42.0,,,,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube38_cluster0,80,mixed,high,1.0,1.0,0.0,Radial Velocity,0.475,6.307362693369387,0.0009990009990009,0.0,jovian_size,1.0,long_period,hot,physical_score=1.00; bias_score=1.00; imputation_risk=0.00; Radial Velocity fraction=0.47; enrichment_z=6.31; p=0.001; radius=jovian_size,node `cube38_cluster0` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (jovian_size/long_period) and discovery-method enrichment (Radial Velocity); it should be discussed as mixed evidence rather than a clean physical structure.,cube38_cluster0,2.043452055009687,0.4217154394355175,1.920038885700512,Multiple Observatories,0.2875,3.7934186455518777,2022.0,7.5,0.0,0.0625,0.025,0.9125,0.2,0.275,0.275,0.25,0.0625,0.0,0.0,0.0,0.0,warm_or_cool_giant_candidate,0.3333333333333333,0.9625,6.307362693369387,0.0009990009990009,1000.0,42.0,,,,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube39_cluster0,70,mixed,high,1.0,1.0,0.0,Radial Velocity,0.4857142857142857,6.075941027266097,0.0009990009990009,0.0,jovian_size,1.0,long_period,hot,physical_score=1.00; bias_score=1.00; imputation_risk=0.00; Radial Velocity fraction=0.49; enrichment_z=6.08; p=0.001; radius=jovian_size,node `cube39_cluster0` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (jovian_size/long_period) and discovery-method enrichment (Radial Velocity); it should be discussed as mixed evidence rather than a clean physical structure.,cube39_cluster0,1.9961887434647168,0.4326181672321307,1.9845538286789524,Multiple Observatories,0.3142857142857143,3.682027944286988,2022.0,8.5,0.0,0.0714285714285714,0.0,0.9285714285714286,0.2142857142857142,0.3,0.2142857142857142,0.2714285714285714,0.0714285714285714,0.0,0.0,0.0,0.0,warm_or_cool_giant_candidate,0.3333333333333333,0.9714285714285714,6.075941027266097,0.0009990009990009,1000.0,42.0,,,,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube36_cluster1,17,mixed,high,0.9411764705882352,1.0,0.25,Transit,1.0,2.6243986897088543,0.0029970029970029,0.0,sub_neptune_size,0.7647058823529411,short_period,hot,physical_score=0.94; bias_score=1.00; imputation_risk=0.25; Transit fraction=1.00; enrichment_z=2.62; p=0.003; radius=sub_neptune_size,node `cube36_cluster1` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (sub_neptune_size/short_period) and discovery-method enrichment (Transit); it should be discussed as mixed evidence rather than a clean physical structure.,cube36_cluster1,-0.0,0.1445587314591173,0.4359638356008698,Kepler,0.5294117647058824,1.468090781663233,2014.0,6.0,0.0,0.9411764705882352,0.0588235294117647,0.0,0.3529411764705882,0.4705882352941176,0.1764705882352941,0.0,0.0,0.2352941176470588,0.7647058823529411,0.0,0.0,sub_neptune_candidate,0.3333333333333333,0.0,2.6243986897088543,0.0029970029970029,1000.0,42.0,,,,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube34_cluster0,1450,mixed,medium,0.7144827586206897,1.0,0.0,Transit,0.9303448275862068,19.978597996727668,0.0009990009990009,0.0,rocky_size,0.7144827586206897,short_period,hot,physical_score=0.71; bias_score=1.00; imputation_risk=0.00; Transit fraction=0.93; enrichment_z=19.98; p=0.001; radius=rocky_size,node `cube34_cluster0` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (rocky_size/short_period) and discovery-method enrichment (Transit); it should be discussed as mixed evidence rather than a clean physical structure.,cube34_cluster0,0.4359611184560841,0.0546019371034979,0.1859930100879147,Kepler,0.7255172413793104,1.5211297020074095,2016.0,4.0,0.0,0.6958620689655173,0.2813793103448276,0.0227586206896551,0.0903448275862068,0.493103448275862,0.3655172413793103,0.0510344827586206,0.0,0.5924137931034483,0.2855172413793103,0.1220689655172413,0.0,super_earth_candidate,0.3333333333333333,0.1510344827586207,19.978597996727668,0.0009990009990009,1000.0,42.0,,,,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube19_cluster0,1134,mixed,medium,0.6834215167548501,1.0,0.0,Transit,0.7627865961199295,2.714304521589364,0.0059940059940059,0.0,sub_neptune_size,0.6834215167548501,intermediate_period,warm,physical_score=0.68; bias_score=1.00; imputation_risk=0.00; Transit fraction=0.76; enrichment_z=2.71; p=0.006; radius=sub_neptune_size,node `cube19_cluster0` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (sub_neptune_size/intermediate_period) and discovery-method enrichment (Transit); it should be discussed as mixed evidence rather than a clean physical structure.,cube19_cluster0,1.0110101641925708,0.0115832816294886,0.0340174188150943,Kepler,0.5282186948853616,2.4422415039949668,2018.0,6.0,0.0,0.310405643738977,0.5282186948853616,0.1613756613756613,0.019400352733686,0.3430335097001764,0.5634920634920635,0.074074074074074,0.0070546737213403,0.0,0.6834215167548501,0.0,0.0714285714285714,sub_neptune_candidate,0.3333333333333333,0.2892416225749559,2.714304521589364,0.0059940059940059,1000.0,42.0,,,,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube20_cluster0,1131,mixed,medium,0.671971706454465,1.0,0.0,Transit,0.7612732095490716,2.6126507006015665,0.0079920079920079,0.0,sub_neptune_size,0.671971706454465,intermediate_period,warm,physical_score=0.67; bias_score=1.00; imputation_risk=0.00; Transit fraction=0.76; enrichment_z=2.61; p=0.008; radius=sub_neptune_size,node `cube20_cluster0` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (sub_neptune_size/intermediate_period) and discovery-method enrichment (Transit); it should be discussed as mixed evidence rather than a clean physical structure.,cube20_cluster0,1.0145010845749771,0.0115505567199097,0.0338888496707738,Kepler,0.5278514588859416,2.455861105804684,2018.0,6.0,0.0,0.3165340406719717,0.5225464190981433,0.160919540229885,0.02210433244916,0.3465959328028293,0.5570291777188329,0.0742705570291777,0.0070733863837312,0.0,0.671971706454465,0.0,0.0716180371352785,sub_neptune_candidate,0.3333333333333333,0.2891246684350133,2.6126507006015665,0.0079920079920079,1000.0,42.0,,,,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,node,cube35_cluster0,1344,mixed,medium,0.6622023809523809,1.0,0.0,Transit,0.9315476190476192,19.049159956723525,0.0009990009990009,0.0,rocky_size,0.6175595238095238,short_period,hot,physical_score=0.66; bias_score=1.00; imputation_risk=0.00; Transit fraction=0.93; enrichment_z=19.05; p=0.001; radius=rocky_size,node `cube35_cluster0` in `phys_density_pca2_cubes10_overlap0p35` has both physical coherence (rocky_size/short_period) and discovery-method enrichment (Transit); it should be discussed as mixed evidence rather than a clean physical structure.,cube35_cluster0,0.4257856924447949,0.0554856030702654,0.1887424509838513,Kepler,0.6845238095238095,1.6319278331549614,2016.0,5.0,0.0,0.6622023809523809,0.3117559523809524,0.0260416666666666,0.0855654761904761,0.4836309523809524,0.3869047619047619,0.0438988095238095,0.0,0.6175595238095238,0.3824404761904761,0.0,0.0,super_earth_candidate,0.3333333333333333,0.1436011904761904,19.049159956723525,0.0009990009990009,1000.0,42.0,,,,,,
