config_id,feature_space,lens,node_id,n_members_with_method,dominant_discoverymethod,observed_dominant_method_fraction,null_mean_fraction_for_that_method,null_std_fraction_for_that_method,enrichment_z,empirical_p_value,n_perm,seed
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube40_cluster1,7,Transit,1.0,0.7314285714285675,0.168522995463537,1.5936782267173903,0.11688311688311688,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube40_cluster2,5,Transit,1.0,0.7277999999999991,0.19602846732043966,1.3885738317539704,0.2007992007992008,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube40_cluster3,6,Transit,1.0,0.7316666666666662,0.1833257574192436,1.4636968482267783,0.16083916083916083,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube40_cluster4,6,Transit,1.0,0.7243333333333347,0.1798366542788925,1.532872526860729,0.12987012987012986,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube41_cluster0,288,Transit,0.71875,0.7284236111111103,0.02471193118362306,-0.39145508455936256,0.6843156843156843,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube41_cluster1,5,Transit,0.8,0.7351999999999989,0.1991003766947741,0.3254639748840919,0.6113886113886113,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube41_cluster2,7,Transit,1.0,0.7319999999999969,0.1691891828452381,1.5840256185003858,0.11988011988011989,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube41_cluster3,5,Transit,1.0,0.7259999999999998,0.194226671700876,1.410722830188746,0.18981018981018982,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube42_cluster0,592,Transit,0.6486486486486487,0.7293952702702694,0.017287000405962184,-4.670944624596161,1.0,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube42_cluster1,9,Transit,1.0,0.7334444444444479,0.1432342034467981,1.8609769813434234,0.057942057942057944,1000,42
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube42_cluster2,5,Transit,1.0,0.7259999999999998,0.194226671700876,1.410722830188746,0.18981018981018982,1000,42
