graph_a,graph_b,space_a,lens_a,space_b,lens_b,metric_zscore_l2_distance,common_metric_count,metrics_used
joint_domain_cubes10_overlap0p35,phys_density_density_cubes10_overlap0p35,joint,domain,phys_density,density,2.7637365625877486,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_domain_cubes10_overlap0p35,phys_density_domain_cubes10_overlap0p35,joint,domain,phys_density,domain,2.53908402438473,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_domain_cubes10_overlap0p35,phys_density_pca2_cubes10_overlap0p35,joint,domain,phys_density,pca2,2.4010978455345864,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_domain_cubes10_overlap0p35,phys_min_density_cubes10_overlap0p35,joint,domain,phys_min,density,2.688004606413484,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_domain_cubes10_overlap0p35,phys_min_domain_cubes10_overlap0p35,joint,domain,phys_min,domain,2.706947203834515,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_domain_cubes10_overlap0p35,phys_min_pca2_cubes10_overlap0p35,joint,domain,phys_min,pca2,2.1821919903730294,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_domain_cubes10_overlap0p35,thermal_density_cubes10_overlap0p35,joint,domain,thermal,density,6.912453712774754,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_domain_cubes10_overlap0p35,thermal_domain_cubes10_overlap0p35,joint,domain,thermal,domain,4.813340182366276,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_domain_cubes10_overlap0p35,thermal_pca2_cubes10_overlap0p35,joint,domain,thermal,pca2,5.176428446200467,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,joint_no_density_density_cubes10_overlap0p35,joint,pca2,joint_no_density,density,3.668612818439557,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,joint_no_density_domain_cubes10_overlap0p35,joint,pca2,joint_no_density,domain,8.716950419132612,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,joint_no_density_pca2_cubes10_overlap0p35,joint,pca2,joint_no_density,pca2,1.428553730517768,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,orb_thermal_density_cubes10_overlap0p35,joint,pca2,orb_thermal,density,4.174419999963641,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,orb_thermal_domain_cubes10_overlap0p35,joint,pca2,orb_thermal,domain,3.115339861453403,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,orb_thermal_pca2_cubes10_overlap0p35,joint,pca2,orb_thermal,pca2,2.4223469250438865,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,orbital_density_cubes10_overlap0p35,joint,pca2,orbital,density,5.927184037051312,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,orbital_domain_cubes10_overlap0p35,joint,pca2,orbital,domain,4.266989884080271,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,orbital_pca2_cubes10_overlap0p35,joint,pca2,orbital,pca2,4.571798965146005,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,phys_density_density_cubes10_overlap0p35,joint,pca2,phys_density,density,4.031816953451359,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,phys_density_domain_cubes10_overlap0p35,joint,pca2,phys_density,domain,3.3057880412886327,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,phys_density_pca2_cubes10_overlap0p35,joint,pca2,phys_density,pca2,3.281577857343463,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,phys_min_density_cubes10_overlap0p35,joint,pca2,phys_min,density,3.8688803278621737,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
joint_pca2_cubes10_overlap0p35,phys_min_domain_cubes10_overlap0p35,joint,pca2,phys_min,domain,3.2613003405652914,10,"n_nodes, n_edges, beta_0, beta_1, graph_density, average_degree, average_clustering, mean_node_size, mean_node_imputation_fraction, mean_node_physically_derived_fraction"
