config_id,permutation_index,weighted_mean_purity,weighted_mean_entropy,node_method_nmi,dominant_method_assortativity
phys_min_pca2_cubes10_overlap0p35,0,0.7274835427887493,0.8194217717577252,0.00620527473286475,1.0
phys_min_pca2_cubes10_overlap0p35,1,0.7305505685218432,0.8152335185478697,0.007177514586725068,-0.019417475728157274
phys_min_pca2_cubes10_overlap0p35,2,0.7305505685218432,0.8145716514266806,0.006592060227996245,1.0
phys_min_pca2_cubes10_overlap0p35,3,0.7336923997606224,0.8099745609840905,0.007092653916464039,0.37747035573122534
phys_min_pca2_cubes10_overlap0p35,4,0.7301765409934171,0.8130150085664786,0.006784143725137413,1.0
phys_min_pca2_cubes10_overlap0p35,5,0.7318970676241772,0.8105758566852623,0.006499749552661578,1.0
phys_min_pca2_cubes10_overlap0p35,6,0.7303261520047876,0.8112450471981492,0.007327480062770058,-0.018428709990301422
phys_min_pca2_cubes10_overlap0p35,7,0.7301017354877319,0.811342957032905,0.006399166876880692,-0.019417475728157274
phys_min_pca2_cubes10_overlap0p35,8,0.7354877318970676,0.7986075058231876,0.0074500940306601385,0.729381443298969
phys_min_pca2_cubes10_overlap0p35,9,0.7303261520047876,0.8158066562814569,0.006349079555395483,
phys_min_pca2_cubes10_overlap0p35,10,0.7257630161579892,0.8224096063483975,0.007040724621516168,1.0
phys_min_pca2_cubes10_overlap0p35,11,0.7268850987432675,0.8218612150919965,0.007186077008000619,1.0
phys_min_pca2_cubes10_overlap0p35,12,0.7253889886295631,0.8211824791269174,0.006964875800115985,-0.044776119402984205
phys_min_pca2_cubes10_overlap0p35,13,0.7301017354877319,0.8191407511248069,0.005581184529778352,-0.019417475728157274
phys_min_pca2_cubes10_overlap0p35,14,0.7331687612208259,0.8129805307312663,0.0058080863409817355,0.26108374384236466
phys_min_pca2_cubes10_overlap0p35,15,0.7281567923399163,0.8182578264875601,0.006363074799906025,
phys_min_pca2_cubes10_overlap0p35,16,0.7288300418910831,0.8132285818035498,0.006021227116871251,-0.018428709990301422
phys_min_pca2_cubes10_overlap0p35,17,0.7266606822262118,0.8158658661202581,0.005823446304618643,1.0
phys_min_pca2_cubes10_overlap0p35,18,0.7296529024536206,0.8196090739441209,0.0067928064812546075,0.3137254901960769
phys_min_pca2_cubes10_overlap0p35,19,0.7360861759425493,0.7997048144862055,0.006170337369007211,-0.019417475728157274
phys_min_pca2_cubes10_overlap0p35,20,0.7344404548174746,0.8051669772885763,0.005687659156599866,0.2929292929292931
phys_min_pca2_cubes10_overlap0p35,21,0.734590065828845,0.8056448811371059,0.006079494194363746,
phys_min_pca2_cubes10_overlap0p35,22,0.7285308198683423,0.8258935565659012,0.006117277967604809,-0.004784688995218001
phys_min_pca2_cubes10_overlap0p35,23,0.7286056253740275,0.8173543129982075,0.006269066908374087,-0.014492753623184577
phys_min_pca2_cubes10_overlap0p35,24,0.7330191502094554,0.805569445342659,0.005972795661666344,
phys_min_pca2_cubes10_overlap0p35,25,0.7282315978456014,0.8197792731831081,0.005546332097712969,0.6464646464646459
phys_min_pca2_cubes10_overlap0p35,26,0.7313734290843806,0.8090147469012254,0.006108288819633552,-0.004784688995218001
phys_min_pca2_cubes10_overlap0p35,27,0.7273339317773788,0.8177064922204685,0.006438136183948435,
phys_min_pca2_cubes10_overlap0p35,28,0.7309245960502693,0.8179068520386716,0.006317044039649726,
phys_min_pca2_cubes10_overlap0p35,29,0.7307749850388988,0.8185634261504305,0.005489000737518086,0.419568822553897
phys_min_pca2_cubes10_overlap0p35,30,0.7310742070616397,0.8129964134876985,0.005980456821929269,-0.004784688995218001
phys_min_pca2_cubes10_overlap0p35,31,0.7298773189706762,0.8163360867604383,0.006489625089721323,0.7894385026737967
phys_min_pca2_cubes10_overlap0p35,32,0.7272591262716936,0.8223908467936776,0.007803927812394149,0.6387614678899084
