config_id,node_id,member_id,pl_name,hostname,row_index,cube_id,cluster_id
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1139 b,Kepler-1139 b,Kepler-1139,2332,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1148 b,Kepler-1148 b,Kepler-1148,2345,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1167 b,Kepler-1167 b,Kepler-1167,2371,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1205 b,Kepler-1205 b,Kepler-1205,2419,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1206 b,Kepler-1206 b,Kepler-1206,2420,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1217 b,Kepler-1217 b,Kepler-1217,2433,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1228 b,Kepler-1228 b,Kepler-1228,2449,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1244 b,Kepler-1244 b,Kepler-1244,2470,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1258 b,Kepler-1258 b,Kepler-1258,2489,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1259 b,Kepler-1259 b,Kepler-1259,2490,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1264 b,Kepler-1264 b,Kepler-1264,2498,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1284 b,Kepler-1284 b,Kepler-1284,2524,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1288 b,Kepler-1288 b,Kepler-1288,2528,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1297 b,Kepler-1297 b,Kepler-1297,2540,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1310 b,Kepler-1310 b,Kepler-1310,2558,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1311 c,Kepler-1311 c,Kepler-1311,2560,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1315 b,Kepler-1315 b,Kepler-1315,2566,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1317 b,Kepler-1317 b,Kepler-1317,2569,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1320 b,Kepler-1320 b,Kepler-1320,2576,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1322 b,Kepler-1322 b,Kepler-1322,2580,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1323 b,Kepler-1323 b,Kepler-1323,2582,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1338 b,Kepler-1338 b,Kepler-1338,2600,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1340 b,Kepler-1340 b,Kepler-1340,2604,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1352 b,Kepler-1352 b,Kepler-1352,2619,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1355 b,Kepler-1355 b,Kepler-1355,2622,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1356 b,Kepler-1356 b,Kepler-1356,2623,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1368 b,Kepler-1368 b,Kepler-1368,2638,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1372 b,Kepler-1372 b,Kepler-1372,2646,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1373 b,Kepler-1373 b,Kepler-1373,2647,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1377 b,Kepler-1377 b,Kepler-1377,2651,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1379 b,Kepler-1379 b,Kepler-1379,2653,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1394 b,Kepler-1394 b,Kepler-1394,2680,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1399 b,Kepler-1399 b,Kepler-1399,2686,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1402 b,Kepler-1402 b,Kepler-1402,2692,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1409 b,Kepler-1409 b,Kepler-1409,2699,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1415 b,Kepler-1415 b,Kepler-1415,2707,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1416 b,Kepler-1416 b,Kepler-1416,2708,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-142 b,Kepler-142 b,Kepler-142,2712,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1427 b,Kepler-1427 b,Kepler-1427,2722,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1522 b,Kepler-1522 b,Kepler-1522,2854,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1523 b,Kepler-1523 b,Kepler-1523,2855,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1528 b,Kepler-1528 b,Kepler-1528,2860,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1531 b,Kepler-1531 b,Kepler-1531,2867,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1532 b,Kepler-1532 b,Kepler-1532,2868,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1537 b,Kepler-1537 b,Kepler-1537,2873,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1561 b,Kepler-1561 b,Kepler-1561,2909,cube4,0
joint_pca2_cubes10_overlap0p35,cube4_cluster0,Kepler-1566 b,Kepler-1566 b,Kepler-1566,2914,cube4,0
