config_id,permutation_index,weighted_mean_purity,weighted_mean_entropy,node_method_nmi,dominant_method_assortativity
joint_pca2_cubes10_overlap0p35,0,0.7472966107845271,0.7486186208095471,0.004049777603511093,0.5834710743801661
joint_pca2_cubes10_overlap0p35,1,0.7482400754771754,0.7485044125976592,0.005180421195227278,0.3170731707317054
joint_pca2_cubes10_overlap0p35,2,0.7441759198780753,0.7518755317368484,0.006532244168803781,0.4322903629536918
joint_pca2_cubes10_overlap0p35,3,0.7474417591987808,0.7527726520718024,0.006449083163307306,
joint_pca2_cubes10_overlap0p35,4,0.7430147325640467,0.7674856661998618,0.005100101817607061,-0.02439024390243821
joint_pca2_cubes10_overlap0p35,5,0.746353146091879,0.7526639785430543,0.007101324238256831,0.251114413075781
joint_pca2_cubes10_overlap0p35,6,0.7467160171275129,0.7514457394515713,0.005606961961826811,1.0
joint_pca2_cubes10_overlap0p35,7,0.7425067131141593,0.7609167206886713,0.004674430651657097,1.0
joint_pca2_cubes10_overlap0p35,8,0.7503447274838523,0.7459735787637682,0.006365553543038741,0.491935483870968
joint_pca2_cubes10_overlap0p35,9,0.748385223891429,0.74879501758829,0.004940973592510963,-0.0039840637450127584
joint_pca2_cubes10_overlap0p35,10,0.742216416285652,0.7605207494081659,0.005943758366758028,0.37520661157024754
joint_pca2_cubes10_overlap0p35,11,0.7455548298134843,0.7574238297596385,0.005118545690991374,-0.012048192771076775
joint_pca2_cubes10_overlap0p35,12,0.7462079976776254,0.7582439698225835,0.006755618365437858,0.3878542510121476
joint_pca2_cubes10_overlap0p35,13,0.74700631395602,0.7580134587489897,0.005605340266800684,-0.012048192771076775
joint_pca2_cubes10_overlap0p35,14,0.7466434429203861,0.7534643749931317,0.005854559905073609,1.0
joint_pca2_cubes10_overlap0p35,15,0.74700631395602,0.7520351389080112,0.0046937349942611,1.0
joint_pca2_cubes10_overlap0p35,16,0.7459177008491182,0.7560077554165051,0.006434532888637937,-0.012048192771076775
joint_pca2_cubes10_overlap0p35,17,0.7438130488424414,0.7576807883440815,0.005547107277877144,1.0
joint_pca2_cubes10_overlap0p35,18,0.7480949270629218,0.747255377300536,0.006696077637256347,0.6603773584905678
joint_pca2_cubes10_overlap0p35,19,0.742216416285652,0.7649015804470893,0.005227501991158319,-0.012048192771076775
joint_pca2_cubes10_overlap0p35,20,0.7451193845707236,0.7538672187501048,0.0056508841255239264,
joint_pca2_cubes10_overlap0p35,21,0.7483126496843022,0.7594553074772349,0.00454205411392156,-0.007999999999992612
joint_pca2_cubes10_overlap0p35,22,0.7455548298134843,0.7574741688230733,0.005105326151152775,0.3170731707317054
joint_pca2_cubes10_overlap0p35,23,0.7413455258001306,0.7635877864326269,0.005121309843189511,
joint_pca2_cubes10_overlap0p35,24,0.7470788881631468,0.7520366898898532,0.004696111979676903,
joint_pca2_cubes10_overlap0p35,25,0.7456274040206111,0.7518987315093947,0.00469127908816347,0.491935483870968
joint_pca2_cubes10_overlap0p35,26,0.7469337397488932,0.7520027024622877,0.005372811747671335,
joint_pca2_cubes10_overlap0p35,27,0.7472240365774004,0.7486115313792056,0.004610898902470701,0.3170731707317054
joint_pca2_cubes10_overlap0p35,28,0.7456999782277378,0.7547117116450205,0.003940298106494694,
joint_pca2_cubes10_overlap0p35,29,0.7459177008491182,0.7548159736072313,0.0047161921445244585,1.0
