config_id,permutation_index,weighted_mean_purity,weighted_mean_entropy,node_method_nmi,dominant_method_assortativity
joint_no_density_pca2_cubes10_overlap0p35,0,0.7491228070175439,0.745375421845389,0.004948805344193701,0.38859315589353866
joint_no_density_pca2_cubes10_overlap0p35,1,0.7466374269005848,0.7503294911000218,0.005793265472117448,1.0
joint_no_density_pca2_cubes10_overlap0p35,2,0.7505847953216375,0.74458462189862,0.0059481825103133885,1.0
joint_no_density_pca2_cubes10_overlap0p35,3,0.749561403508772,0.7424843743973101,0.006511900464241537,-0.011320754716982268
joint_no_density_pca2_cubes10_overlap0p35,4,0.7463450292397661,0.7527710889772462,0.004891554474796091,-0.015151515151515381
joint_no_density_pca2_cubes10_overlap0p35,5,0.750438596491228,0.7432664682005504,0.0068317561658275475,0.2705498094719659
joint_no_density_pca2_cubes10_overlap0p35,6,0.7491959064327486,0.7432251005405288,0.005593096757931007,-0.01901140684410423
joint_no_density_pca2_cubes10_overlap0p35,7,0.7471491228070175,0.7529460255833659,0.006719296165297772,0.2023809523809524
joint_no_density_pca2_cubes10_overlap0p35,8,0.748172514619883,0.7491189645425834,0.0056009141670113,0.7971233913701764
joint_no_density_pca2_cubes10_overlap0p35,9,0.7505847953216375,0.7469982826793774,0.006269752660560367,0.2665571975916812
joint_no_density_pca2_cubes10_overlap0p35,10,0.7439327485380117,0.7646285896416513,0.005973838583597007,0.27239819004524807
joint_no_density_pca2_cubes10_overlap0p35,11,0.7478070175438597,0.7567825900465887,0.005403186947093148,1.0
joint_no_density_pca2_cubes10_overlap0p35,12,0.7535818713450292,0.7430839046611605,0.005626969341670112,0.4924242424242442
joint_no_density_pca2_cubes10_overlap0p35,13,0.7510233918128655,0.7431309790869525,0.005425204219017187,-0.026819923371647174
joint_no_density_pca2_cubes10_overlap0p35,14,0.7487573099415205,0.7490557811430939,0.004965523093274811,0.2269230769230786
joint_no_density_pca2_cubes10_overlap0p35,15,0.7469298245614036,0.7536000596637619,0.005364172082757517,
