config_id,n_nodes,mean_shadow_score,median_shadow_score,max_shadow_score,n_high_confidence_shadow,mean_imputation_fraction,dominant_shadow_method
phys_min_pca2_cubes10_overlap0p35,66,0.05054949491540762,0.018963351055975262,0.5523823966161706,3,0.017370253623123326,Transit
orbital_pca2_cubes10_overlap0p35,124,0.06954305939504905,0.04452308711506161,0.27404943575735147,2,0.011199827665987984,Radial Velocity
joint_no_density_pca2_cubes10_overlap0p35,62,0.04854112424389874,0.03237698063758859,0.218500087673489,1,0.1757010080798799,Radial Velocity
thermal_pca2_cubes10_overlap0p35,121,0.013918155901929068,0.0,0.18984617011849447,6,0.5875030401169343,Transit
joint_pca2_cubes10_overlap0p35,56,0.05080201513052986,0.046907918810411155,0.18335380209356872,1,0.15179485319395478,Radial Velocity
