config_id,component_id,n_nodes,n_members,mean_shadow_score,max_shadow_score,dominant_method,mean_imputation_fraction,fraction_high_confidence_shadow,interpretation_text
orbital_pca2_cubes10_overlap0p35,6,2,12,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,7,2,12,0.0,0.0,Radial Velocity,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,9,2,8,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,10,2,8,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,11,2,8,0.0,0.0,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,12,4,20,0.0,0.0,Radial Velocity,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,13,4,20,0.0,0.0,Radial Velocity,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,14,4,16,0.0,0.0,Radial Velocity,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,15,2,8,0.0,0.0,Radial Velocity,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,16,4,40,0.0,0.0,Radial Velocity,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,20,2,18,0.0,0.0,Radial Velocity,0.0555555555555555,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,21,2,13,0.0,0.0,Radial Velocity,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,3,1,5,,,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,8,1,4,,,Transit,0.0,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
orbital_pca2_cubes10_overlap0p35,18,1,4,,,Microlensing,0.25,0.0,Componente sin nodos de alta sombra segun cortes heuristicos.
