config_id,node_id,member_id,pl_name,hostname,row_index,cube_id,cluster_id,discoverymethod,disc_year,disc_facility,pl_rade_was_physically_derived,pl_rade_was_imputed,pl_bmasse_was_physically_derived,pl_bmasse_was_imputed,pl_dens_was_physically_derived,pl_dens_was_imputed,pl_orbper_was_physically_derived,pl_orbper_was_imputed,pl_orbsmax_was_physically_derived,pl_orbsmax_was_imputed,pl_insol_was_physically_derived,pl_insol_was_imputed,pl_eqt_was_physically_derived,pl_eqt_was_imputed,st_mass,pl_bmasse,pl_orbper,pl_orbsmax,pl_rade_was_imputed_catalog,pl_bmasse_was_imputed_catalog,pl_dens_was_imputed_catalog,pl_orbper_was_imputed_catalog,pl_orbsmax_was_imputed_catalog,pl_insol_was_imputed_catalog,pl_eqt_was_imputed_catalog,pl_rade_was_physically_derived_catalog,pl_bmasse_was_physically_derived_catalog,pl_dens_was_physically_derived_catalog,pl_orbper_was_physically_derived_catalog,pl_orbsmax_was_physically_derived_catalog,pl_insol_was_physically_derived_catalog,pl_eqt_was_physically_derived_catalog
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-1171 b,Kepler-1171 b,Kepler-1171,2377,cube0,0,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.58,7.08,1.4425922400000002,0.0284,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-1297 b,Kepler-1297 b,Kepler-1297,2540,cube0,0,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.99,0.8710000000000001,1.68189002,0.0283,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-1372 b,Kepler-1372 b,Kepler-1372,2646,cube0,0,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.98,2.15,1.311555568,0.024,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-1373 b,Kepler-1373 b,Kepler-1373,2647,cube0,0,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.22,1.65,1.29123275,0.0259799999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-1399 b,Kepler-1399 b,Kepler-1399,2686,cube0,0,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.97,2.1,1.638653058,0.0276,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-1613 b,Kepler-1613 b,Kepler-1613,2977,cube0,0,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.08,4.98,1.5184299,0.02755,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-17 b,Kepler-17 b,Kepler-17,3091,cube0,0,Transit,2011.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.04,778.6499999999996,1.4857108000000003,0.02591,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-1763 b,Kepler-1763 b,Kepler-1763,3173,cube0,0,Transit,2021.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.026,1.5900000000000003,1.480280042,0.0257,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-207 b,Kepler-207 b,Kepler-207,3509,cube0,0,Transit,2014.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.313,3.0899999999999994,1.611865,0.0289999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,Kepler-342 e,Kepler-342 e,Kepler-342,3913,cube0,0,Transit,2016.0,Kepler,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1.26,0.6149999999999999,1.644224613,0.02909,False,False,False,False,False,False,False,False,False,True,False,False,False,False
