hostname,candidate_id,inner_planet,outer_planet,candidate_rank_in_gap,candidate_period_days,candidate_semimajor_au,candidate_position_method,gap_period_ratio,gap_log_width,expected_missing_count,candidate_mass_median,candidate_mass_q16,candidate_mass_q84,candidate_radius_median,candidate_radius_q16,candidate_radius_q84,dominant_discoverymethod_system,inner_discoverymethod,outer_discoverymethod,gap_score,topology_score,analog_support_score,missing_detectability_score,data_quality_score,candidate_priority_score,candidate_priority_class,gap_shadow_score,gap_TOI_score,gap_ATI_score,transit_probability_proxy,transit_depth_proxy,rv_K_proxy,likely_missing_due_to,interpretation,analog_support_count,validation_error_if_available
TOI-431,TOI-431::TOI-431 b::TOI-431 c::1,TOI-431 b,TOI-431 c,1,1.052093875827896,0.018635499855898133,kepler,9.895785506288176,0.9954502732777939,2,3.53,2.2064000000000004,231.55097599999965,1.64,1.2464,3.3367999999999998,Transit,Transit,Radial Velocity,0.8587786259541985,0.5377591997485786,1.0,0.0,0.9192307692307693,0.6839964646464811,medium,0.0592990767055698,0.0412286279306651,,0.182420305131985,0.0004230527628589131,4.096001805392798,unknown,"Intervalo orbital prioritario entre TOI-431 b y TOI-431 c en TOI-431; gap_ratio=9.90, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.12880269211309314
HD 92788,HD 92788::HD 92788 b::HD 92788 c::2,HD 92788 b,HD 92788 c,2,1944.992431705713,3.1948544257052327,kepler,35.63901345291481,1.55192567353865,3,1239.5307872999997,248.988022,4024.0381741663987,12.999999999999998,12.300000000000004,13.812000000000001,Radial Velocity,Radial Velocity,Radial Velocity,0.9344783715012722,0.4034073606887942,1.0,0.07082919579910704,0.9192307692307693,0.6837428079155232,medium,0.119694559430695,0.0309282146843902,,0.001659398236534592,0.010929960575138398,90.46615230815623,unknown,"Intervalo orbital prioritario entre HD 92788 b y HD 92788 c en HD 92788; gap_ratio=35.64, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
HD 50499,HD 50499::HD 50499 b::HD 50499 c::1,HD 50499 b,HD 50499 c,1,4592.794061353066,5.873505349492215,kepler,3.5224960156920435,0.546850510549616,1,1640.0028000000002,647.3528993776002,3692.6575638888,12.8,12.232000000000001,13.356000000000002,Radial Velocity,Radial Velocity,Radial Velocity,0.693384223918575,0.7340934634714662,1.0,0.0,0.9192307692307693,0.6834617099665161,medium,0.1564580961262041,0.0562810757788033,,0.0010969984364715083,0.007173786914838157,83.6257177730108,unknown,"Intervalo orbital prioritario entre HD 50499 b y HD 50499 c en HD 50499; gap_ratio=3.52, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
K2-223,K2-223::K2-223 b::K2-223 c::1,K2-223 b,K2-223 c,1,1.0525836401025321,0.020648074053879313,kepler,9.024558419210004,0.9554259606284177,2,2.8,1.1800000000000006,634.5712283192001,1.46954368,1.0549033104,14.801386160000002,Transit,Transit,Transit,0.8524173027989822,0.5377591997485786,1.0,0.0004351686858648285,0.9192307692307693,0.682153343002796,medium,0.0592990767055698,0.0412286279306651,,0.22522536425746112,0.0001815125224761575,2.6476988244495723,unknown,"Intervalo orbital prioritario entre K2-223 b y K2-223 c en K2-223; gap_ratio=9.02, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
HD 43197,HD 43197::HD 43197 b::HD 43197 c::3,HD 43197 b,HD 43197 c,3,3969.016618698269,4.839704804222642,kepler,30.091777268938138,1.478447838630697,3,1013.8777,268.30648265279996,3071.7479879735997,13.099999999999998,12.500000000000002,13.755999999999998,Radial Velocity,Radial Velocity,Radial Velocity,0.9287531806615776,0.4034073606887942,1.0,0.06979013828998604,0.9192307692307693,0.6818693920372467,medium,0.119694559430695,0.0309282146843902,,0.0009608995151816834,0.014423949221157573,65.80270949051861,unknown,"Intervalo orbital prioritario entre HD 43197 b y HD 43197 c en HD 43197; gap_ratio=30.09, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
Kepler-1814,Kepler-1814::Kepler-1814 c::Kepler-1814 b::1,Kepler-1814 c,Kepler-1814 b,1,1.3558622409607404,0.02216286621805057,kepler,4.686963782688189,0.6708915976338352,1,3.57,1.8364,323.80520399999995,1.69,1.1944,11.299323999999997,Transit,Transit,Transit,0.7633587786259542,0.5377591997485786,1.0,0.17142628888572115,0.9192307692307693,0.681084453780866,medium,0.0592990767055698,0.0412286279306651,,0.17269141871563623,0.0003544176423898913,3.7743743005217865,shallow_transit_depth,"Intervalo orbital prioritario entre Kepler-1814 c y Kepler-1814 b en Kepler-1814; gap_ratio=4.69, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con shallow transit depth. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
Kepler-770,Kepler-770::Kepler-770 d::Kepler-770 b::1,Kepler-770 d,Kepler-770 b,1,8.86491601737396,0.08211683809778039,kepler,4.557650401634725,0.6587410092024428,1,7.53,3.4384,20.366479999999992,2.91575244,1.6944,4.757999999999998,Transit,Transit,Transit,0.7576335877862596,0.5377591997485786,1.0,0.1783063055432177,0.9192307692307693,0.6803988990275822,medium,0.0592990767055698,0.0412286279306651,,0.052101767421992906,0.0008442425448666439,3.7915623193997874,unknown,"Intervalo orbital prioritario entre Kepler-770 d y Kepler-770 b en Kepler-770; gap_ratio=4.56, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.08003113688672592
HD 75898,HD 75898::HD 75898 b::HD 75898 c::2,HD 75898 b,HD 75898 c,2,2671.9935543698793,4.107586430699563,kepler,15.886192706116065,1.2010198264177805,2,1357.1272978900004,547.0985661164,3854.622920095999,12.999999999999998,12.344000000000003,13.5,Radial Velocity,Radial Velocity,Radial Velocity,0.8912213740458015,0.4034073606887942,1.0,0.1324156193162416,0.9192307692307693,0.6800036722064522,medium,0.119694559430695,0.0309282146843902,,0.0017548574136204767,0.00591241488593126,82.31815067501623,unknown,"Intervalo orbital prioritario entre HD 75898 b y HD 75898 c en HD 75898; gap_ratio=15.89, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
HD 159868,HD 159868::HD 159868 c::HD 159868 b::1,HD 159868 c,HD 159868 b,1,644.685272051409,1.547701974275684,kepler,3.3735042735042744,0.5280812646493538,1,594.0242699999999,231.09430160000008,2046.5709359999996,13.3,12.544,13.999999999999998,Radial Velocity,Radial Velocity,Radial Velocity,0.6800254452926209,0.7340934634714662,1.0,0.0,0.9192307692307693,0.6794540763787298,medium,0.1564580961262041,0.0562810757788033,,0.006400134693008788,0.003277069624981328,61.233671322554464,unknown,"Intervalo orbital prioritario entre HD 159868 c y HD 159868 b en HD 159868; gap_ratio=3.37, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
K2-282,K2-282::EPIC 220554210 c::K2-282 b::1,EPIC 220554210 c,K2-282 b,1,1.7149313828051547,0.027467152160838636,kepler,5.911986218825764,0.77173341302295,1,6.17,0.96912,553.777576,2.36,0.9988,13.142776679999999,Transit,Transit,Transit,0.8091603053435115,0.5377591997485786,1.0,0.06842346958090008,0.903846153846154,0.6778360273619484,medium,0.0592990767055698,0.0412286279306651,,0.16931023546847423,0.00046812905764325645,5.371773333983009,unknown,"Intervalo orbital prioritario entre EPIC 220554210 c y K2-282 b en K2-282; gap_ratio=5.91, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
TOI-1468,TOI-1468::TOI-1468 b::TOI-1468 c::2,TOI-1468 b,TOI-1468 c,2,7.683984368648841,0.05384342180581256,kepler,8.259670821917831,0.916962739442252,2,4.2,1.8668000000000002,9.856399999999997,2.0,1.2769599999999999,2.83356,Transit,Transit,Transit,0.8428753180661578,0.42820307668865554,1.0,0.16706643222800274,0.9192307692307693,0.6768964063492886,medium,0.0632746217755426,0.0328292390642812,,0.03207791221421863,0.002437349372995946,4.263669109562491,low_transit_probability,"Intervalo orbital prioritario entre TOI-1468 b y TOI-1468 c en TOI-1468; gap_ratio=8.26, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con low transit probability. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
TOI-1347,TOI-1347::TOI-1347 b::TOI-1347 c::1,TOI-1347 b,TOI-1347 c,1,2.025633775199387,0.030395134018877886,kepler,5.713745522220967,0.7569208939472691,1,8.65,2.9295999999999998,501.52847999999983,2.79,1.51,13.25466536,Transit,Transit,Transit,0.8015267175572519,0.5377591997485786,1.0,0.06442573068836177,0.9192307692307693,0.6764847517306514,medium,0.0592990767055698,0.0412286279306651,,0.12699039581805066,0.0009497161325221332,7.264102202074729,unknown,"Intervalo orbital prioritario entre TOI-1347 b y TOI-1347 c en TOI-1347; gap_ratio=5.71, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
HD 148164,HD 148164::HD 148164 b::HD 148164 c::1,HD 148164 b,HD 148164 c,1,817.5387775275809,1.8233661213621688,kepler,15.407091766854357,1.1877206692957012,2,587.9855,267.65865279999997,1755.0484634540005,13.5,12.8,13.900000000000004,Radial Velocity,Radial Velocity,Radial Velocity,0.8874045801526718,0.4034073606887942,1.0,0.10410998502384061,0.9192307692307693,0.6746127888946531,medium,0.119694559430695,0.0309282146843902,,0.0034176514124023443,0.008530991981512784,55.3783802475759,unknown,"Intervalo orbital prioritario entre HD 148164 b y HD 148164 c en HD 148164; gap_ratio=15.41, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
Kepler-407,Kepler-407::Kepler-407 b::Kepler-407 c::4,Kepler-407 b,Kepler-407 c,4,558.2423469777027,1.3246345014479577,kepler,4482.211893877958,3.651492383695409,4,447.00000000000017,73.4827654936,1288.1076810272,13.199999999999998,9.565304215064184,13.812000000000001,Mixed,Transit,Radial Velocity,0.9968193384223919,0.047498113656398014,1.0,0.4762951222749172,0.9192307692307693,0.6742876752051317,medium,0.0262371218562684,0.002119839151575,,0.003598526042307887,0.013939324396303994,54.46922674258654,low_transit_probability,"Intervalo orbital prioritario entre Kepler-407 b y Kepler-407 c en Kepler-407; gap_ratio=4482.21, sin soporte topologico fuerte, y candidato a submuestreo intra-sistema posiblemente consistente con low transit probability. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
TOI-756,TOI-756::TOI-756 b::TOI-756 c::2,TOI-756 b,TOI-756 c,2,8.426272317484798,0.06453480021315498,kepler,120.5568370211165,2.0811918451269524,4,5.000000000000001,2.59,9.0048,2.04,1.4152,2.6451999999999996,Mixed,Transit,Radial Velocity,0.9611959287531806,0.0,1.0,0.6239733089277393,0.9192307692307693,0.673877851888192,medium,,,,0.03639102224293052,0.0013715737732818386,3.8746331408290358,weak_RV_signal,"Intervalo orbital prioritario entre TOI-756 b y TOI-756 c en TOI-756; gap_ratio=120.56, sin soporte topologico fuerte, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
HD 34445,HD 34445::HD 34445 c::HD 34445 f::1,HD 34445 c,HD 34445 f,1,381.16749074389855,1.0523131841656013,kepler,3.1527460753715024,0.49868899374004005,1,451.3185999999999,33.32000000000001,1978.1387199999995,12.8,5.840400000000001,13.599999999999998,Radial Velocity,Radial Velocity,Radial Velocity,0.6552162849872774,0.7340934634714662,1.0,0.0,0.9192307692307693,0.6720113282871267,medium,0.1564580961262041,0.0562810757788033,,0.006098610847576402,0.00723108322465827,59.500702885174135,unknown,"Intervalo orbital prioritario entre HD 34445 c y HD 34445 f en HD 34445; gap_ratio=3.15, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.1186584121041041
HD 75784,HD 75784::HD 75784 b::HD 75784 c::1,HD 75784 b,HD 75784 c,1,748.4512873094172,1.7424984151377167,kepler,23.153575615474796,1.364618068794956,3,587.9855,285.4621927999999,1755.0484634540005,13.400000000000002,12.8,13.856000000000002,Radial Velocity,Radial Velocity,Radial Velocity,0.9173027989821882,0.4034073606887942,1.0,0.02642467599612006,0.9192307692307693,0.67192945818935,medium,0.119694559430695,0.0309282146843902,,0.009074096058073227,0.0013055495401635192,55.513474032415466,unknown,"Intervalo orbital prioritario entre HD 75784 b y HD 75784 c en HD 75784; gap_ratio=23.15, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con unknown. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
