node_id,anchor_pl_name,r_kNN,r_node_median,r_node_q75,delta_rel_neighbors_mean,delta_rel_neighbors_median,delta_rel_neighbors_best,best_radius,deficit_stability_label
cube0_cluster0,TOI-3071 b,0.0909090909008264,-0.0016694490818002,-0.0067014147431074,0.0275127423586396,-0.0016694490818002,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube0_cluster1,Kepler-1323 b,0.0909090909008264,-0.0270270270266617,-0.0196078431370626,0.014758073579034034,-0.0196078431370626,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube0_cluster2,HD 80653 b,0.0909090909008264,-0.0312499999995117,-0.0256410256406969,0.011339355086872602,-0.0256410256406969,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube0_cluster3,Kepler-780 b,0.0909090909008264,-0.0181818181814876,-0.0270270270266617,0.015233415230892366,-0.0181818181814876,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube11_cluster0,HD 206255 b,0.0909090909008264,0.0096153846152921,0.0022935779816461,0.034272684499254864,0.0096153846152921,0.0909090909008264,r_kNN,consistent_positive_deficit
cube11_cluster1,HD 160691 d,0.0909090909008264,-0.0149683362118509,-0.0168989030536564,0.019680617211773034,-0.0149683362118509,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube11_cluster2,TOI-375 c,0.0909090909008264,0.0052356020942134,0.0024330900243249,0.0328592610064549,0.0052356020942134,0.0909090909008264,r_kNN,consistent_positive_deficit
cube11_cluster3,HD 156098 b,0.0909090909008264,-0.0092975206611474,-0.0509363295879959,0.010225080217227699,-0.0092975206611474,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube11_cluster4,Kepler-413 b,0.0909090909008264,-0.0014164305948988,-0.0012062726176101,0.029428795896105836,-0.0012062726176101,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube11_cluster5,TOI-5110 b,0.0909090909008264,-0.5499081445189529,-0.4907945736431731,-0.3165978757537665,-0.4907945736431731,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube12_cluster0,HIP 97166 c,0.0909090909008264,-0.413461538461177,-0.3322884012537448,-0.2182802829380318,-0.3322884012537448,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube12_cluster1,GJ 3293 b,-8.999999991,-11.896551723727706,-11.634615384391642,-10.843722366373116,-11.634615384391642,0.0,r_kNN,no_consistent_deficit
cube13_cluster0,Gl 49 b,0.0909090909008264,0.0011248593925746,-0.0006816632583499,0.030450762345017035,0.0011248593925746,0.0909090909008264,r_kNN,radius_sensitive_deficit
cube13_cluster1,GJ 536 c,0.0909090909008264,-0.0128534704369849,-0.0121028744326686,0.021984248677057634,-0.0121028744326686,0.0909090909008264,r_kNN,radius_sensitive_deficit
