config_id,node_id,n_members,top_method,top_method_fraction,method_entropy,method_entropy_norm,mean_imputation_fraction,mean_physically_derived_fraction,degree,component_id,lens_1_mean,lens_2_mean,component_n_nodes,is_peripheral
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,36,Transit,0.9722222222222222,0.12693054534140227,0.05512523542674151,0.0,0.0138888888888888,3,0,-1.5398141297345058,-0.0590688470763671,62.0,False
orbital_pca2_cubes10_overlap0p35,cube11_cluster0,4,Radial Velocity,0.75,0.5623351446188083,0.2442190502882155,0.0,0.0,3,0,0.8389683221699059,-0.0517928625163484,62.0,False
orbital_pca2_cubes10_overlap0p35,cube11_cluster1,284,Transit,0.9436619718309859,0.21677025811632547,0.09414212694066373,0.0,0.0246478873239436,3,0,-0.5765835178650038,-0.0588146396602538,62.0,False
orbital_pca2_cubes10_overlap0p35,cube11_cluster2,5,Radial Velocity,0.8,0.5004024235381879,0.21732201127364886,0.0,0.0,3,0,0.9484269052748396,-0.0465655805528958,62.0,False
orbital_pca2_cubes10_overlap0p35,cube11_cluster3,38,Transit,0.8421052631578947,0.5073035688905503,0.22031914061899213,0.0,0.0,1,0,0.0021312532036126,-0.0559209504837122,62.0,True
orbital_pca2_cubes10_overlap0p35,cube11_cluster4,4,Transit,0.75,0.5623351446188083,0.2442190502882155,0.0,0.0,3,0,0.6469895591422823,-0.0474901363144306,62.0,False
orbital_pca2_cubes10_overlap0p35,cube11_cluster5,4,Transit,1.0,-0.0,-0.0,0.0,0.125,1,0,0.2128138224907425,-0.0540702002992699,62.0,True
orbital_pca2_cubes10_overlap0p35,cube12_cluster0,3182,Transit,0.8774355751099937,0.4258342601679018,0.18493746939627345,0.0032998114393463,0.0351979886863607,26,0,-0.1727234302967905,-0.0046270972766224,62.0,False
orbital_pca2_cubes10_overlap0p35,cube12_cluster1,4,Transit,0.75,0.5623351446188083,0.2442190502882155,0.0,0.0,1,0,0.0122732269849254,0.0967419873827912,62.0,True
orbital_pca2_cubes10_overlap0p35,cube13_cluster0,328,Transit,0.8384146341463414,0.46825307945619365,0.20335972854202983,0.0,0.0320121951219512,4,0,-0.4554651864047772,0.0647735530907021,62.0,False
orbital_pca2_cubes10_overlap0p35,cube13_cluster1,54,Transit,0.7037037037037037,0.7193290272061972,0.3124006271884855,0.0,0.0555555555555555,1,0,0.1103998851849185,0.057159748081315,62.0,True
orbital_pca2_cubes10_overlap0p35,cube13_cluster2,6,Radial Velocity,0.5,0.6931471805599453,0.30102999566398114,0.0,0.0,3,0,0.8928571380523976,0.0544821883849906,62.0,False
orbital_pca2_cubes10_overlap0p35,cube13_cluster3,60,Transit,0.6666666666666666,0.6365141682948128,0.27643459094367495,0.0,0.0166666666666666,3,0,0.4505597726961516,0.0499720442396188,62.0,False
orbital_pca2_cubes10_overlap0p35,cube13_cluster5,19,Transit,0.8421052631578947,0.4361623253853443,0.18942289112894561,0.0,0.0,3,0,0.7582842215661467,0.0388096057233314,62.0,False
orbital_pca2_cubes10_overlap0p35,cube13_cluster6,19,Transit,0.6842105263157895,0.6236548495681085,0.2708498597796321,0.0,0.0,3,0,1.003805503552459,0.0422805815641948,62.0,False
orbital_pca2_cubes10_overlap0p35,cube13_cluster7,3,Radial Velocity,0.6666666666666666,0.6365141682948128,0.27643459094367495,0.0,0.0,3,0,0.6850219797836218,0.0503586044276855,62.0,False
orbital_pca2_cubes10_overlap0p35,cube13_cluster8,4,Radial Velocity,0.5,1.0397207708399179,0.4515449934959717,0.0,0.125,1,0,0.2378691239440877,0.0731219063041896,62.0,True
orbital_pca2_cubes10_overlap0p35,cube17_cluster0,6,Radial Velocity,1.0,-0.0,-0.0,0.0,0.0,3,0,1.8242307910646207,-0.0598813197638615,62.0,False
orbital_pca2_cubes10_overlap0p35,cube17_cluster1,4,Radial Velocity,1.0,-0.0,-0.0,0.0,0.0,1,0,1.2491105045203277,-0.0737307138770711,62.0,True
orbital_pca2_cubes10_overlap0p35,cube17_cluster10,5,Radial Velocity,1.0,-0.0,-0.0,0.0,0.0,1,0,1.62531222213605,-0.0515644987187192,62.0,True
orbital_pca2_cubes10_overlap0p35,cube17_cluster12,4,Transit,0.75,0.5623351446188083,0.2442190502882155,0.0,0.0,3,0,0.6469895591422823,-0.0474901363144306,62.0,False
orbital_pca2_cubes10_overlap0p35,cube17_cluster2,8,Radial Velocity,1.0,-0.0,-0.0,0.0,0.0,3,0,1.7103067066663735,-0.0513593189487842,62.0,False
orbital_pca2_cubes10_overlap0p35,cube17_cluster4,4,Radial Velocity,0.75,0.5623351446188083,0.2442190502882155,0.0,0.0,3,0,0.8389683221699059,-0.0517928625163484,62.0,False
orbital_pca2_cubes10_overlap0p35,cube17_cluster5,7,Radial Velocity,0.8571428571428571,0.410116318288409,0.1781112539711337,0.0,0.0714285714285714,3,0,2.09036016743072,-0.0566248002415832,62.0,False
orbital_pca2_cubes10_overlap0p35,cube17_cluster6,5,Radial Velocity,1.0,-0.0,-0.0,0.0,0.0,3,0,1.8981520963633205,-0.0595303184977722,62.0,False
orbital_pca2_cubes10_overlap0p35,cube17_cluster7,5,Radial Velocity,0.8,0.5004024235381879,0.21732201127364886,0.0,0.0,3,0,0.9484269052748396,-0.0465655805528958,62.0,False
orbital_pca2_cubes10_overlap0p35,cube17_cluster9,8,Radial Velocity,0.875,0.37677016125643675,0.16362920197946884,0.0,0.0,1,0,1.5508012762505232,-0.0775557283718941,62.0,True
orbital_pca2_cubes10_overlap0p35,cube18_cluster0,1085,Radial Velocity,0.4377880184331797,1.1067245726741355,0.4806443748991114,0.080184331797235,0.0119815668202764,40,0,1.3232129006063704,0.0007630808892189,62.0,False
orbital_pca2_cubes10_overlap0p35,cube19_cluster0,10,Radial Velocity,0.9,0.3250829733914482,0.14118174150460758,0.0,0.0,3,0,2.19796962141341,0.0393444184410578,62.0,False
orbital_pca2_cubes10_overlap0p35,cube19_cluster1,6,Radial Velocity,0.5,0.6931471805599453,0.30102999566398114,0.0,0.0,3,0,0.8928571380523976,0.0544821883849906,62.0,False
orbital_pca2_cubes10_overlap0p35,cube19_cluster10,19,Transit,0.6842105263157895,0.6236548495681085,0.2708498597796321,0.0,0.0,3,0,1.003805503552459,0.0422805815641948,62.0,False
orbital_pca2_cubes10_overlap0p35,cube19_cluster11,3,Radial Velocity,0.6666666666666666,0.6365141682948128,0.27643459094367495,0.0,0.0,3,0,0.6850219797836218,0.0503586044276855,62.0,False
orbital_pca2_cubes10_overlap0p35,cube19_cluster2,27,Transit,0.6666666666666666,0.6365141682948128,0.27643459094367495,0.0,0.0,1,0,1.2245872332693792,0.0470829237092879,62.0,True
orbital_pca2_cubes10_overlap0p35,cube19_cluster3,34,Transit,0.5882352941176471,0.6774944044487072,0.2942320813724034,0.0,0.0147058823529411,3,0,0.5222372659848339,0.0524212533130462,62.0,False
orbital_pca2_cubes10_overlap0p35,cube19_cluster4,6,Radial Velocity,1.0,-0.0,-0.0,0.0,0.0,3,0,1.8364016297469643,0.0479570381488531,62.0,False
