config_id,region,n_nodes,mean_purity,mean_entropy,mean_imputation_fraction,mean_node_size,most_frequent_dominant_method
joint_no_density_pca2_cubes10_overlap0p35,central,48,0.8465036104331202,0.39662546122258324,0.1627110243254004,283.6666666666667,Transit
joint_no_density_pca2_cubes10_overlap0p35,peripheral,14,0.9404761904761905,0.09497581063248273,0.2202380952380952,4.571428571428571,Radial Velocity
joint_pca2_cubes10_overlap0p35,central,47,0.8443645111488137,0.4229869117878044,0.15553267209330376,292.1914893617021,Transit
joint_pca2_cubes10_overlap0p35,peripheral,9,0.9629629629629631,0.10012471308140103,0.13227513227513224,5.111111111111111,Transit
orbital_pca2_cubes10_overlap0p35,central,79,0.8880872128179653,0.2624871298183776,0.005352778983207841,138.86075949367088,Radial Velocity
orbital_pca2_cubes10_overlap0p35,peripheral,45,0.815869668559727,0.39855601659953543,0.021464646464646457,8.555555555555555,Radial Velocity
phys_min_pca2_cubes10_overlap0p35,central,49,0.8407879788269305,0.4203970291325359,0.018294627329104887,270.83673469387753,Transit
phys_min_pca2_cubes10_overlap0p35,peripheral,17,0.9156608097784569,0.1695656925061841,0.014705882352941176,5.705882352941177,Transit
thermal_pca2_cubes10_overlap0p35,central,67,0.8209349388662286,0.41048591485306496,0.5653279850299433,166.7462686567164,Radial Velocity
thermal_pca2_cubes10_overlap0p35,peripheral,54,0.7716703090253816,0.5107134135535735,0.6150165343915345,8.574074074074074,Radial Velocity
