config_id,weighted_mean_purity,weighted_mean_entropy,weighted_mean_entropy_norm,node_method_nmi,dominant_method_assortativity,mean_node_imputation_fraction,mean_physically_derived_fraction,n_nodes,n_edges,n_methods,global_nmi_z_score,global_nmi_empirical_p_value,global_purity_z_score
orbital_pca2_cubes10_overlap0p35,0.842184059885513,0.4369695254168142,0.18977345364840514,0.16502788858417736,0.8017831004657351,0.011199827665987984,0.02768533488517558,124,196,10,138.90036591263203,0.000999000999000999,26.366054394717835
phys_min_pca2_cubes10_overlap0p35,0.7651107121484141,0.655663343724817,0.27343285220277813,0.10242713330305406,0.6144430844553243,0.017370253623123326,0.0,66,105,11,132.28292247082308,0.000999000999000999,12.359740607332943
joint_no_density_pca2_cubes10_overlap0p35,0.8512426900584795,0.4483759379447,0.19472719566757804,0.1694705688965424,0.7465188376858808,0.17570100807987993,0.007711050247016569,62,134,10,292.8195363214128,0.000999000999000999,38.73970292320248
joint_pca2_cubes10_overlap0p35,0.8475215908266203,0.4553421806451935,0.19775259643200116,0.16229195806836216,0.6496691319579604,0.15179485319395478,0.147870594724152,56,126,10,262.9445594935066,0.000999000999000999,39.36525774642597
thermal_pca2_cubes10_overlap0p35,0.8130640309411259,0.5466586410250234,0.227974360359394,0.15423352470369533,0.791231732776618,0.5875030401169344,0.0,121,150,11,129.10186001960213,0.000999000999000999,20.67981858644063
